epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6037,1.48912,2.73315,1.26761,0.35361,0.50559,0.48976,0.27333,1.3794,2.86966,1.13051,0.000408951,0.000408951,0.000408951
2,101.416,1.42628,1.59529,1.26285,0.84571,0.4644,0.68117,0.37554,1.48433,1.85091,1.26805,0.000817444,0.000817444,0.000817444
3,132.73,1.35044,1.36387,1.22448,0.59146,0.70082,0.70441,0.40271,1.38538,1.29753,1.18634,0.00121769,0.00121769,0.00121769
4,179.903,1.34821,1.29965,1.21421,0.64705,0.73713,0.72471,0.40753,1.4375,1.13302,1.27538,0.00121287,0.00121287,0.00121287
5,211.652,1.28525,1.19455,1.19779,0.6512,0.71243,0.70299,0.38939,1.4408,1.11513,1.29487,0.0012005,0.0012005,0.0012005
6,254.337,1.26753,1.14669,1.18794,0.48109,0.73661,0.66054,0.39203,1.30388,1.0413,1.1963,0.00118812,0.00118812,0.00118812
7,338.41,1.27982,1.13304,1.19084,0.59659,0.79195,0.7082,0.40485,1.34432,1.00428,1.22992,0.00117575,0.00117575,0.00117575
8,359.629,1.25869,1.08203,1.17738,0.83167,0.57247,0.69011,0.41383,1.35919,0.96885,1.23583,0.00116337,0.00116337,0.00116337
9,380.863,1.23457,1.04985,1.16843,0.68478,0.8248,0.77832,0.45246,1.33552,0.91631,1.2203,0.001151,0.001151,0.001151
10,402.276,1.20868,1.03424,1.1649,0.5612,0.69385,0.69899,0.41178,1.33449,0.93461,1.21544,0.00113863,0.00113863,0.00113863
11,434.941,1.20596,1.02676,1.15295,0.59442,0.81739,0.73512,0.4395,1.30999,0.86675,1.21753,0.00112625,0.00112625,0.00112625
12,467.736,1.20697,1.00814,1.16844,0.64716,0.87026,0.74805,0.45351,1.30576,0.88414,1.20539,0.00111388,0.00111388,0.00111388
13,497.989,1.20123,0.94349,1.1551,0.6339,0.83229,0.75412,0.46716,1.2742,0.83653,1.20389,0.0011015,0.0011015,0.0011015
14,534.525,1.17515,0.94603,1.13789,0.65333,0.85627,0.76647,0.44098,1.33541,0.84813,1.22564,0.00108913,0.00108913,0.00108913
15,578.327,1.19028,0.95695,1.15399,0.64924,0.78788,0.79847,0.49439,1.32223,0.95226,1.25124,0.00107675,0.00107675,0.00107675
16,601.654,1.16832,0.92216,1.14071,0.63502,0.87832,0.73463,0.43031,1.35217,0.83864,1.2286,0.00106437,0.00106437,0.00106437
17,625.249,1.19761,0.9366,1.15494,0.70824,0.893,0.78723,0.50305,1.23759,0.81501,1.16781,0.001052,0.001052,0.001052
18,653.422,1.17553,0.91412,1.13588,0.57257,0.78458,0.73451,0.45836,1.28299,0.86744,1.20546,0.00103962,0.00103962,0.00103962
19,703.468,1.18057,0.90961,1.15533,0.68329,0.83459,0.73456,0.4453,1.27627,0.85461,1.21264,0.00102725,0.00102725,0.00102725
20,740.063,1.17031,0.89576,1.1276,0.50371,0.77056,0.74742,0.44877,1.34153,0.84059,1.22355,0.00101488,0.00101488,0.00101488
21,766.978,1.15196,0.87051,1.13724,0.734,0.83846,0.81249,0.50306,1.28612,0.80012,1.193,0.0010025,0.0010025,0.0010025
22,802.357,1.12945,0.8532,1.12489,0.71327,0.76799,0.75083,0.4515,1.34144,0.81799,1.23686,0.000990125,0.000990125,0.000990125
23,846.103,1.17078,0.86847,1.14841,0.70233,0.76875,0.76716,0.47409,1.3373,0.82723,1.25284,0.00097775,0.00097775,0.00097775
24,878.484,1.14077,0.83224,1.13126,0.69471,0.82665,0.77306,0.46199,1.31915,0.79574,1.21422,0.000965375,0.000965375,0.000965375
25,910.371,1.13541,0.84763,1.12311,0.70051,0.79359,0.7654,0.47324,1.28225,0.77258,1.20238,0.000953,0.000953,0.000953
26,942.786,1.1132,0.8152,1.10002,0.76159,0.79382,0.84152,0.53442,1.28435,0.76635,1.21173,0.000940625,0.000940625,0.000940625
27,973.175,1.14335,0.8124,1.11533,0.62693,0.8382,0.75,0.46492,1.28113,0.78052,1.21044,0.00092825,0.00092825,0.00092825
28,1005.98,1.14127,0.83201,1.13218,0.65452,0.79367,0.74347,0.45946,1.26157,0.79269,1.18873,0.000915875,0.000915875,0.000915875
29,1031.8,1.11216,0.81818,1.10565,0.63836,0.87851,0.71621,0.44673,1.26229,0.7677,1.19488,0.0009035,0.0009035,0.0009035
30,1056.79,1.10638,0.82062,1.11335,0.65805,0.78948,0.74163,0.46585,1.23122,0.73217,1.18295,0.000891125,0.000891125,0.000891125
31,1082.89,1.11831,0.80651,1.11506,0.63333,0.86113,0.69803,0.43435,1.24217,0.78126,1.18219,0.00087875,0.00087875,0.00087875
32,1114.18,1.0955,0.80598,1.11018,0.63215,0.81227,0.73025,0.44987,1.30045,0.76103,1.21049,0.000866375,0.000866375,0.000866375
33,1139.49,1.09259,0.79118,1.0989,0.72737,0.72293,0.75534,0.43627,1.35761,0.77928,1.24412,0.000854,0.000854,0.000854
34,1182.24,1.09966,0.7868,1.10682,0.63783,0.79243,0.77587,0.46978,1.29516,0.74124,1.19948,0.000841625,0.000841625,0.000841625
