epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.84,1.44175,2.90036,1.24639,0.02344,0.85645,0.39984,0.21999,1.33107,3.31006,1.09933,0.000325,0.000325,0.000325
2,312.415,1.38265,1.6917,1.23752,0.0261,0.85662,0.45205,0.24811,1.41458,3.12546,1.19204,0.000655941,0.000655941,0.000655941
3,398.752,1.33594,1.38321,1.21478,0.9676,0.21245,0.62757,0.35411,1.41138,2.53159,1.2149,0.0009802,0.0009802,0.0009802
4,498.82,1.35522,1.31222,1.22859,0.61773,0.44574,0.59459,0.33109,1.46047,2.18595,1.307,0.00121287,0.00121287,0.00121287
5,594.06,1.30626,1.24451,1.19808,0.57764,0.54106,0.55729,0.30769,1.45499,1.62279,1.32147,0.0012005,0.0012005,0.0012005
6,689.549,1.29676,1.16442,1.1967,0.70639,0.70756,0.68966,0.40093,1.3109,1.24516,1.20752,0.00118812,0.00118812,0.00118812
7,789.181,1.25328,1.12999,1.17391,0.62965,0.75697,0.71847,0.39576,1.3906,1.17186,1.26373,0.00117575,0.00117575,0.00117575
8,887.836,1.24288,1.10477,1.17118,0.74425,0.67429,0.74571,0.43486,1.33276,1.12781,1.24427,0.00116337,0.00116337,0.00116337
9,989.445,1.23568,1.07083,1.1644,0.76433,0.76614,0.8025,0.46524,1.30048,0.98052,1.20325,0.001151,0.001151,0.001151
10,1088.46,1.21266,1.01619,1.14774,0.68034,0.79686,0.78217,0.46546,1.32301,1.00119,1.25711,0.00113863,0.00113863,0.00113863
11,1184.28,1.17846,0.98256,1.13802,0.73288,0.77562,0.77818,0.47578,1.2768,1.003,1.20444,0.00112625,0.00112625,0.00112625
12,1280.02,1.20578,0.9807,1.14353,0.69905,0.80255,0.76581,0.45323,1.31116,0.94586,1.19383,0.00111388,0.00111388,0.00111388
13,1376.03,1.21191,0.97645,1.14725,0.66018,0.73934,0.75173,0.45269,1.31756,0.94126,1.22686,0.0011015,0.0011015,0.0011015
14,1472.16,1.20272,0.94601,1.1405,0.66108,0.90994,0.77045,0.47309,1.32238,0.92126,1.21964,0.00108913,0.00108913,0.00108913
15,1569.03,1.1785,0.92591,1.13008,0.79345,0.69432,0.78646,0.48053,1.37569,0.92655,1.26131,0.00107675,0.00107675,0.00107675
